County,incident_acres_burned,incident_longitude,incident_latitude,incident_type,Date
san diego,70.0,-117.08829,33.41639,,2016-05-31
tulare,0.0,-118.08591,35.84883,,2016-06-01
butte,112.0,-121.6008,39.595,,2016-06-20
san luis obispo,86.0,-120.82266,35.70821,,2016-06-27
calaveras,33.0,-120.8678,38.22017,,2016-06-27
tehama,43.0,-122.40142,39.93965,,2016-06-21
placer,88.0,-121.37704,38.86804,,2016-06-21
el dorado,25.0,-120.6955,38.64107,,2016-06-03
san benito,30.0,-121.40304,36.80296,,2016-06-03
sacramento,32.0,-121.06452,38.3131,,2016-06-03
riverside,139.0,-117.140883,33.476894,,2016-06-04
monterey,2520.0,-121.25029,36.01542,,2016-06-04
san luis obispo,0.0,-119.58206,35.01382,,2016-06-04
shasta,24.0,-122.46777,40.61388,,2016-06-11
amador,210.0,-120.90265,38.26874,,2016-06-17
san diego,7609.0,-116.63028,32.60729,,2016-06-19
monterey,70.0,-121.3306,36.2833,,2016-06-18
tehama,80.0,-121.857,39.7947,,2016-06-11
kern,61.0,-120.251,35.77135,,2016-06-11
san benito,83.0,-121.04993,36.49914,,2016-06-12
siskiyou,2860.0,-123.557,41.623,,2016-06-07
santa barbara,7474.0,-119.643,34.776,,2016-06-15
yolo,277.0,-122.15457,38.69971,,2016-06-26
butte,49.0,-121.6051,39.43351,,2016-06-21
kern,48019.0,-118.45628,35.6115,,2016-06-23
monterey,52.0,-120.9293,36.1934,,2016-06-23
merced,1246.0,-121.20155,37.07147,,2016-06-25
orange,47.0,-117.77395,33.57872,,2016-06-26
alameda,211.0,-121.58677,37.74369,,2016-06-25
mono,650.0,-119.14,37.97,,2016-06-25
lake,215.0,-122.50373,39.12366,,2016-06-26
el dorado,5645.0,-120.9375,38.96741,,2016-06-28
placer,5645.0,-120.9375,38.96741,,2016-06-28
amador,372.0,-121.003611,38.385,,2016-06-28
fresno,188.0,-119.39619,36.92244,,2016-07-11
los angeles,1100.0,-118.57245,34.36763,,2016-07-09
san benito,95.0,-120.841536,5487.0,,2016-07-09
kern,554.0,118.9082,34.913,,2016-07-08
shasta,303.0,-122.72913,40.36873,,2016-07-08
tehama,464.0,-122.56939,40.0353,,2016-06-30
kern,1785.0,-118.72272,35.20993,,2016-07-01
ventura,2304.0,-119.144,34.701,,2016-06-30
tehama,88.0,-122.2071,40.07846,,2016-07-01
fresno,2944.0,-120.452041,36.0749,,2016-07-01
inyo,30.0,-118.15589,36.58972,,2016-07-01
calaveras,310.0,-120.61153,38.02845,,2016-07-02
sacramento,87.0,-121.103642,38.517772,,2016-07-10
fresno,145.0,-120.62048,36.14161,,2016-07-04
madera,103.0,-119.65776,37.25601,,2016-07-04
ventura,45.0,-118.63264,34.27619,,2016-07-01
ventura,15.0,-116.58542,33.11645,,2016-07-11
calaveras,341.0,-120.81394,38.08056,,2016-07-12
calaveras,35.0,-120.67335,37.96311,,2016-07-12
yolo,84.0,-122.04726,38.8866,,2016-07-15
kern,221.0,-118.21793,35.68313,,2016-07-13
ventura,78.0,-119.39619,36.92244,,2016-07-13
kern,138.0,-118.94811,35.60748,,2016-07-15
fresno,123.0,-119.5792,37.0099,,2016-07-15
san diego,100.0,-116.7945,32.9612,,2016-07-18
lake,69.0,-122.7891,39.0863,,2016-07-19
siskiyou,26.0,-122.59328,41.96191,,2016-07-19
fresno,2241.0,-119.50507,37.01591,,2016-07-30
calaveras,57.0,-120.64241,37.98171,,2016-07-21
solano,57.0,-122.02564,38.33475,,2016-07-22
san diego,1245.0,-117.35093,33.393,,2016-07-21
siskiyou,23.0,-122.36924,41.71847,,2016-07-21
monterey,100.0,-120.81081,35.85093,,2016-07-22
monterey,132127.0,-121.89938,36.45994,,2016-07-22
orange,150.0,-117.5221,33.6542,,2016-08-31
san bernardino,20.0,-117.4415,34.25858,,2016-09-03
butte,800.0,-121.571,39.6871,,2016-09-05
mendocino,50.0,-123.5044,39.7299,,2016-09-10
san bernardino,50.0,-117.3189,34.3183,,2016-09-07
nevada,38.0,-120.51887,39.39051,,2016-09-07
shasta,75.0,-122.4096,40.68192,,2016-09-10
el dorado,50.0,-121.00299,38.79549,,2016-07-22
san diego,28.0,-116.9571,33.00056,,2016-07-22
contra costa,40.0,-122.1885,38.01264,,2016-07-24
madera,38.0,-119.4741,37.24006,,2016-07-29
tuolumne,32.0,-120.69521,37.81434,,2016-07-30
santa clara,114.0,-121.79669,37.41896,,2016-07-30
san diego,35.0,-117.14547,33.22558,,2016-08-10
tehama,80.0,-122.26736,40.19611,,2016-08-03
butte,520.0,-121.7192,39.6708,,2016-08-02
yolo,5731.0,-122.06788,38.52513,,2016-08-02
kern,100.0,-118.60344,35.24504,,2016-08-04
madera,85.0,-119.7738,37.3228,,2016-08-04
amador,26.0,-120.8657,38.2581,,2016-08-05
santa clara,25.0,-121.68577,37.06531,,2016-08-12
san bernardino,8110.0,-117.27338,34.28771,,2016-08-07
lake,45.0,-120.51057,36.09974,,2016-08-09
lake,36.0,-122.26015,38.68403,,2016-08-09
fresno,7050.0,-120.51057,36.09974,,2016-08-08
san bernardino,36274.0,-117.49342,34.30372,,2016-08-16
shasta,35.0,-122.47091,40.61213,,2016-08-09
humboldt,21.0,-123.77832,40.9878,,2016-08-12
san luis obispo,46235.0,-120.98316,35.70595,,2016-08-13
lake,3929.0,-122.60664,38.89741,,2016-08-13
kern,29322.0,-118.5678,35.7506,,2016-08-16
humboldt,23.0,-124.05804,40.4572,,2016-08-11
sacramento,40.0,-121.1309,38.558,,2016-09-11
alpine,0.0,-120.00606,38.57554,,2016-08-18
fresno,158.0,-119.34487,36.84479,,2016-09-03
santa clara,25.0,-121.69784,37.11831,,2016-09-01
yuba,389.0,-121.38775,36.16965,,2016-08-18
mendocino,36.0,-123.4267011,39.8748511,,2016-08-30
kern,304.0,-118.5097,35.4976,,2016-08-28
siskiyou,33867.0,-123.118,41.851,,2016-08-27
san joaquin,147.0,-121.36665,37.62215,,2016-08-20
humboldt,599.0,-123.82268,41.28486,,2016-08-22
lassen,2575.0,-120.7845,40.3915,,2016-09-11
butte,88.0,-121.71662,39.79547,,2016-08-26
calaveras,450.0,-120.6381,38.1874,,2016-08-28
tulare,395.0,-118.73906,36.1648,,2016-08-22
siskiyou,710.0,-122.611,41.7813,,2016-08-24
modoc,380.0,-120.9066,41.4657,,2016-09-11
kern,600.0,-118.7212,35.2013,,2016-08-26
lake,20.0,-122.9148951,39.1408865,,2016-08-30
siskiyou,32.0,-122.7933,41.6314,,2016-09-12
butte,30.0,-121.6998,39.8851,,2016-09-16
tehama,321.0,-122.1295,40.30594,,2016-09-13
del norte,150.0,-120.029626,37.75972,,2016-09-13
nevada,47.0,-121.05948,39.20427,,2016-09-17
inyo,5443.0,-118.95309,37.75985,,2016-09-17
modoc,2652.0,-120.3178,41.2649,,2016-09-17
santa barbara,12518.0,-120.54421,34.63445,,2016-09-17
santa barbara,215.0,-120.55297,34.75134,,2016-09-22
butte,130.0,-121.42647,39.4403,,2016-09-22
sutter,300.0,-121.78003,39.188321,,2016-09-20
amador,45.0,-120.8416,38.5212,,2016-09-23
tuolumne,1080.0,-120.32484,37.79635,,2016-09-26
fresno,70.0,-119.5327,36.6543,,2016-09-23
shasta,100.0,-121.93923,40.0,,2016-09-25
sonoma,1547.0,-122.82895,38.80017,,2016-09-25
plumas,248.0,-121.32,39.92,,2016-09-26
santa clara,4474.0,-121.85318,37.10632,,2016-09-26
fresno,2100.0,-119.25959,36.94536,,2016-10-11
el dorado,176.0,-120.10744,38.93449,,2016-10-14
san diego,28.0,-117.158475,33.254355,,2016-11-13
los angeles,4824.0,-118.335,34.31,,2016-11-14
tulare,10.0,-118.551,36.217,,2016-10-20
tulare,4347.0,-118.551,35.984,,2016-10-29
fresno,30.0,-119.94083,35.92436,,2018-04-12
butte,0.0,-121.55633,39.51158,,2017-02-07
shasta,45.0,-121.85645,40.48712,,2017-04-03
modoc,380.0,-120.58342,41.16716,,2017-04-03
riverside,15.0,-116.08003,33.56777,,2017-04-13
fresno,4532.0,-120.26561,36.07228,,2017-04-20
monterey,10.0,-121.34695,36.44141,,2017-04-24
fresno,750.0,-120.206592,36.530836,,2017-04-28
fresno,126.0,-120.6585,36.5355,,2017-04-29
san bernardino,150.0,-117.45646,34.30104,,2017-04-30
riverside,1350.0,-117.30693,34.00566,,2017-04-30
riverside,12.0,-117.5048,33.7866,,2017-04-30
kern,19.0,-118.30601,35.71704,,2017-05-01
san luis obispo,130.0,-120.22647,35.78286,,2017-05-02
san luis obispo,12.0,-120.3317,35.6879,,2017-05-07
fresno,400.0,-120.2445,36.45491,,2017-05-10
kern,31.0,-118.4683,35.60001,,2017-05-12
merced,1733.0,-120.89261,36.96655,,2017-05-12
monterey,20.0,-120.92482,35.77082,,2017-05-14
riverside,17.0,-116.99229,33.88466,,2017-05-14
kern,41.0,-118.90004,35.05076,,2017-05-14
san luis obispo,225.0,-119.87525,35.21177,,2017-05-15
kern,288.0,-118.84466,35.41283,,2017-05-15
monterey,18.0,-120.86682,36.1727,,2017-05-16
monterey,17.0,-120.94328,36.2771,,2017-05-17
madera,150.0,-119.79315,36.90967,,2017-05-17
san luis obispo,225.0,-120.76464,35.34541,,2017-05-18
fresno,10000.0,-120.37116,36.12089,,2017-05-18
kings,20.0,-119.91508,35.983,,2017-05-18
riverside,14.0,-117.44148,33.97155,,2017-05-18
