id,lon,lat,start,end
fire_01461,-119.393795,36.802809,2021-06-04,2021-07-03
fire_01462,-120.638464,41.80728,2021-06-05,2021-07-04
fire_01463,-123.224377,39.253647,2021-06-07,2021-07-06
fire_01464,-121.05758,37.06047,2021-06-09,2021-07-08
fire_01465,-121.77593,41.28523,2021-06-09,2021-07-08
fire_01466,-116.6253,32.82731,2021-06-10,2021-07-09
fire_01467,-121.667665,37.865193,2021-06-11,2021-07-10
fire_01468,-118.81448,34.85178,2021-06-11,2021-07-10
fire_01469,-119.869785,37.350823,2021-06-11,2021-07-10
fire_01470,-121.82403,41.25272,2021-06-11,2021-07-10
fire_01471,-118.8745,37.8024,2021-06-12,2021-07-11
fire_01472,-121.389439,39.871306,2021-06-13,2021-07-12
fire_01473,-122.64768,40.1703,2021-06-14,2021-07-13
fire_01474,-122.7418335,38.0975072,2021-06-14,2021-07-13
fire_01475,-119.7512546,38.4504695,2021-05-26,2021-06-24
fire_01476,-116.634023,32.578481,2021-06-15,2021-07-14
fire_01477,-119.8591887,38.6280042,2021-06-04,2021-07-03
fire_01478,-122.55195,39.999396,2021-06-17,2021-07-16
fire_01479,-120.45187,40.86955,2021-06-18,2021-07-17
fire_01480,-117.070814,33.889516,2021-06-20,2021-07-19
fire_01481,-118.46461,35.41153,2021-06-20,2021-07-19
fire_01482,-121.24684,39.383922,2021-06-20,2021-07-19
fire_01483,-123.505,39.976,2021-06-23,2021-07-22
fire_01484,-118.722167,36.199833,2021-06-26,2021-07-25
fire_01485,-121.224797,36.476664,2021-06-28,2021-07-27
fire_01486,-120.8468224,40.183504,2021-06-29,2021-07-28
fire_01487,-123.034,40.35,2021-06-30,2021-07-29
fire_01488,-120.867498,38.054116,2021-06-30,2021-07-29
fire_01489,-118.8217926,34.7479248,2021-07-01,2021-07-30
fire_01490,-120.560856,35.65927,2021-07-01,2021-07-30
fire_01491,-121.9154934,41.5289901,2021-07-02,2021-07-31
fire_01492,-122.482826,40.466364,2021-07-02,2021-07-31
fire_01493,-123.337,40.752,2021-06-30,2021-07-29
fire_01494,-123.057,41.389,2021-06-30,2021-07-29
fire_01495,-117.65989,34.23604,2021-07-04,2021-08-02
fire_01496,-122.506112,40.604986,2021-07-05,2021-08-03
